class_one,class_two,class_three,Job_name,job_company,low_salary,job_release_time,0,job_edu,job_area,job_welfare,second_time,,
技术,后端开发,C++,C++软件开发工程师,厦门福信光电,5,2017/11/8 11:24,1, 本科,厦门,"“C++,朝阳行业”",1510111440,,
技术,后端开发,C++,高级C++研发工程师,百度,18,2017/11/7 0:00,1, 不限,北京,"“专业技能强,提升空间大”",1509984000,,
技术,后端开发,C++,Linux C/C++研发工程师,蓝盾信息安全技术股份有限公司,10,2017/11/8 10:56,0, 大专,广州,“五险一金、免费午餐、加班补贴、餐费补贴。”,1510109760,,
技术,后端开发,C++,C++工程师,盒子支付,8,2017/11/8 10:48,1, 本科,深圳,"“双休,班车接送,下午茶供应,健身房”",1510109280,,
技术,后端开发,C++,C++高级开发工程师,新氧盒子,25,2017/11/8 9:27,1, 本科,北京,"“六险一金,竞争力薪资,技术氛围好,geek”",1510104420,,
技术,后端开发,C++,C++开发工程师,英雄互娱,15,2017/11/3 0:00,3, 本科,北京,"“项目好,奖金高”",1509638400,,
技术,后端开发,C++,C++开发工程师,高新兴科技集团,10,2017/10/27 0:00,1, 本科,广州,"“薪酬高,福利好,发展机会大”",1509033600,,
技术,后端开发,C++,交付开发工程师-C++开发工程师,SenseTime,10,2017/11/8 14:38,1, 本科,深圳,"“人工智能,前景广阔,福利齐全,技术领先”",1510123080,,
技术,后端开发,C++,C++客户端开发工程师,abc360,13,2017/11/8 13:02,1, 本科,杭州,“孝顺基金 学习基金 五险一金 周末双休”,1510117320,,
技术,后端开发,C++,C++开发工程师,彭珠贸易,20,2017/11/8 11:28,3, 大专,上海,"“高薪,海外机会,带薪假,项目奖金”",1510111680,,
技术,后端开发,C++,高级C++研发工程师,深瞐科技,15,2017/11/6 0:00,1, 本科,武汉,"“五险一金,带薪年假,交补话补,餐补”",1509897600,,
技术,后端开发,C++,C++,泰赋星,10,2017/10/31 0:00,1, 大专,南京,“五险一金 年底双薪 饭补 节假日福利”,1509379200,,
技术,后端开发,C++,高级C++开发工程师-信息安全(J170601008),滴滴出行,25,2017/11/8 9:56,3, 本科,北京,“大平台 高速发展”,1510106160,,
