Job_name,class_one,class_two,class_three,job_company,low_salary,low _year,job_edu,job_area,second_time
数据挖掘工程师,技术,后端开发,数据挖掘,美利金融,13,3, 不限,上海,1509638400
资深数据挖掘专家,技术,后端开发,数据挖掘,美团点评,30,5, 本科,上海,1510070400
高级数据挖掘工程师(J10554),技术,后端开发,数据挖掘,沪江,20,3, 本科,上海,1510113660
数据挖掘工程师,技术,后端开发,数据挖掘,国誉信睿,10,3, 本科,杭州,1510113540
数据挖掘工程师,技术,后端开发,数据挖掘,联璧,10,1, 本科,上海,1509984000
数据挖掘工程师,技术,后端开发,数据挖掘,今日头条,20,3, 本科,北京,1509206400
数据挖掘工程师,技术,后端开发,数据挖掘,果树金服,18,1, 硕士,杭州,1508774400
数据挖掘工程师,技术,后端开发,数据挖掘,Gridsum 国双,20,3, 本科,北京,1510070400
数据挖掘研究员,技术,后端开发,数据挖掘,北京三星通信研究院,15,3, 本科,北京,1508947200
数据挖掘开发工程师,技术,后端开发,数据挖掘,金山办公软件,15,0, 不限,北京,1510112700
数据挖掘工程师,技术,后端开发,数据挖掘,罗辑思维,25,0, 本科,北京,1510109460
数据挖掘/算法高级研发工程师,技术,后端开发,数据挖掘,滴滴出行,20,1, 本科,北京,1509897600
数据挖掘工程师,技术,后端开发,数据挖掘,百分点,15,1, 本科,上海,1509379200
数据挖掘工程师,技术,后端开发,数据挖掘,一帧,18,1, 本科,北京,1508774400
数据挖掘/算法专家-P7-菜鸟-北京/杭州,技术,后端开发,数据挖掘,蚂蚁金服集团,25,3, 本科,北京,1509984000
资深数据挖掘工程师/专家,技术,后端开发,数据挖掘,美团点评,30,5, 本科,北京,1510123020
资深数据挖掘工程师,技术,后端开发,数据挖掘,铭师堂,15,3, 本科,杭州,1509984000
数据挖掘工程师-POI方向,技术,后端开发,数据挖掘,滴滴出行,20,1, 本科,北京,1509897600
数据平台部-数据挖掘工程师,技术,后端开发,数据挖掘,UCloud,8,1, 本科,上海,1510143960
数据挖掘实习生,技术,后端开发,数据挖掘,大特保,4,0, 硕士,北京,1510108200
数据挖掘工程师,技术,后端开发,数据挖掘,华云中盛,10,1, 硕士,深圳,1510106580
数据挖掘,技术,后端开发,数据挖掘,卓领通讯,12,3, 本科,上海,1509638400
数据挖掘工程师,技术,后端开发,数据挖掘,凡普金科,25,1, 本科,北京,1509379200
数据挖掘工程师,技术,后端开发,数据挖掘,马上金融,13,3, 硕士,北京,1510130700
高级数据挖掘工程师,技术,后端开发,数据挖掘,京东金融,20,3, 硕士,北京,1510128660
数据挖掘工程师,技术,后端开发,数据挖掘,舜飞科技,18,3, 本科,广州,1510107720
数据挖掘工程师,技术,后端开发,数据挖掘,快手,25,3, 本科,北京,1509724800
数据挖掘/推荐算法工程师,技术,后端开发,数据挖掘,新浪微博,20,0, 本科,北京,1509638400
数据挖掘工程师,技术,后端开发,数据挖掘,一帧,18,1, 本科,北京,1508774400
数据挖掘技术专家,技术,后端开发,数据挖掘,美团点评,30,3, 本科,北京,1509984000
数据挖掘专家-P7-风险与决策中心-蚂蚁金服-上海,技术,后端开发,数据挖掘,蚂蚁金服集团,25,3, 本科,上海,1509984000
数据挖掘,技术,后端开发,数据挖掘,一下集团,15,3, 本科,北京,1507564800
数据工程师、SQL、数据挖掘,技术,后端开发,数据挖掘,数宇通,5,1, 本科,北京,1509897600
数据挖掘工程师,技术,后端开发,数据挖掘,百度,16,3, 本科,北京,1508947200
高级数据挖掘工程师,技术,后端开发,数据挖掘,兴仁金融,20,3, 硕士,上海,1510103580
数据挖掘工程师,技术,后端开发,数据挖掘,金山办公软件,15,1, 本科,北京,1509984000
